icao,regid,mdl,type,operator
4bcc36,tc-sav,b738,Boeing 737-8GJ,AnadoluJet
4bcc3a,tc-saz,b737,Boeing 737-7GL,AnadoluJet
4bcc42,tc-sbb,b737,Boeing 737-7GL,AnadoluJet
4bcc45,tc-sbe,b738,Boeing 737-8BK,AnadoluJet
4bcc46,tc-sbf,b738,Boeing 737-86Q,AnadoluJet
4bcc47,tc-sbg,b738,Boeing 737-86J,AnadoluJet
4bcc49,tc-sbi,b738,Boeing 737-8AS,AnadoluJet
4bcc4a,tc-sbj,b738,Boeing 737-8AS,AnadoluJet
4bcc4d,tc-sbm,b738,Boeing 737-8AS,AnadoluJet
4bcc4e,tc-sbn,b738,Boeing 737-8Q8,AnadoluJet
4bcc50,tc-sbp,b738,Boeing 737-86N,AnadoluJet
4bcc52,tc-sbr,b738,Boeing 737-86N,AnadoluJet
4bcc53,tc-sbs,b738,Boeing 737-8AS,AnadoluJet
4bcc56,tc-sbv,b738,Boeing 737-86N,AnadoluJet
4bcc5a,tc-sbz,b738,Boeing 737-86N,AnadoluJet
4bcc64,tc-scd,b738,Boeing 737-8Q8,AnadoluJet
4bcc65,tc-sce,b738,Boeing 737-8Q8,AnadoluJet
4bcc66,tc-scf,b738,Boeing 737-8AL,AnadoluJet
4bcc67,tc-scg,b738,Boeing 737-8AL,AnadoluJet
4bcc6b,tc-sck,b738,Boeing 737-8GJ,AnadoluJet
4bcc6c,tc-scl,b738,Boeing 737-8GJ,AnadoluJet
4bcca4,tc-sed,b738,Boeing 737-86N,SunExpress
4bcca5,tc-see,b738,Boeing 737-8CX,SunExpress
4bcca9,tc-sei,b738,Boeing 737-8HC,SunExpress
4bccaa,tc-sej,b738,Boeing 737-8HC,SunExpress
4bccab,tc-sek,b738,Boeing 737-8HC,SunExpress
4bccad,tc-sem,b738,Boeing 737-8HC,SunExpress
4bccae,tc-sen,b738,Boeing 737-8HC,SunExpress
4bcce9,tc-sgi,b738,Boeing 737-86J,Saga Airlines
4bcced,tc-sgm,a310,Airbus A310-308F,Turkish Airlines
4bcdc6,tc-snf,b738,Boeing 737-8HC,SunExpress
4bcdc7,tc-sng,b738,Boeing 737-8HC,AnadoluJet
4bcdc8,tc-snh,b738,Boeing 737-8FH,SunExpress
4bcdc9,tc-sni,b738,Boeing 737-8FH,AnadoluJet
4bcdca,tc-snj,b738,Boeing 737-86J,SunExpress
4bcdcc,tc-snl,b738,Boeing 737-86N,SunExpress
4bcdce,tc-snn,b738,Boeing 737-8HC,SunExpress
4bcdcf,tc-sno,b738,Boeing 737-8HC,SunExpress
4bcdd0,tc-snp,b738,Boeing 737-8HC,SunExpress
4bcdd2,tc-snr,b738,Boeing 737-8HC,SunExpress
4bcdd4,tc-snt,b738,Boeing 737-8HC,SunExpress
4bcdd5,tc-snu,b738,Boeing 737-8HC,SunExpress
4bcdd6,tc-snv,b738,Boeing 737-86J,SunExpress
4bcdd9,tc-sny,b738,Boeing 737-8K5,SunExpress
4bcdda,tc-snz,b738,Boeing 737-86N,SunExpress
4bcea9,tc-sui,b738,Boeing 737-8CX,SunExpress
4bceac,tc-sul,b738,Boeing 737-85F,SunExpress
4bcead,tc-sum,b738,Boeing 737-85F,SunExpress
4bceaf,tc-suo,b738,Boeing 737-86Q,AnadoluJet
4bceb5,tc-suu,b738,Boeing 737-86Q,SunExpress
4bceb6,tc-suv,b738,Boeing 737-86N,SunExpress
4bceb9,tc-suy,b738,Boeing 737-86N,SunExpress
4bd042,tc-tbb,da40,Diamond DA-40 Diamond Star,Private owner
4bd046,tc-tbf,da40,Diamond DA-40 Diamond Star,Private owner
4bd047,tc-tbg,da40,Diamond DA-40 Diamond Star,Private owner
4bd081,tc-tda,da42,,
4bd083,tc-tdc,da42,,
4bd084,tc-tdd,da42,,
4bd085,tc-tde,da42,,
4bd086,tc-tdf,da42,,
4bd142,tc-tjb,b733,Boeing 737-3Q8,Corendon Airlines
4bd147,tc-tjg,b738,Boeing 737-86J,Corendon Airlines
4bd148,tc-tjh,b738,Boeing 737-86J,Corendon Airlines
4bd149,tc-tji,b738,Boeing 737-8S3,Corendon Airlines
4bd14a,tc-tjj,b738,Boeing 737-8S3,Corendon Airlines
4bd14c,tc-tjl,b738,Boeing 737-86J,Corendon Airlines
4bd14d,tc-tjm,b738,Boeing 737-8Q8,Corendon Airlines
4bd14e,tc-tjn,b738,Boeing 737-85P,Corendon Airlines
4bd14f,tc-tjo,b738,Boeing 737-86N,Corendon Airlines
4bd150,tc-tjp,b738,Boeing 737-8BK,Corendon Airlines
4bd153,tc-tjs,b738,Boeing 737-81B,Corendon Airlines
4bd181,tc-tla,b734,Boeing 737-4Q8,Tailwind Airlines
4bd182,tc-tlb,b734,Boeing 737-4Q8,Tailwind Airlines
4bd183,tc-tlc,b734,Boeing 737-4Q8,Tailwind Airlines
4bd184,tc-tld,b734,Boeing 737-4Q8,Tailwind Airlines
4bd185,tc-tle,b734,Boeing 737-4Q8,Tailwind Airlines
4bd187,tc-tlg,b738,Boeing 737-8K5,Tailwind Airlines
4bd188,tc-tlh,b738,Boeing 737-8K5,Tailwind Airlines
4bd8ac,tc-vel,a310,Airbus A310-304F,ULS Airlines Cargo
4be427,tc-yag,e190,Embraer ERJ-190,BoraJet
4be428,tc-yah,e190,Embraer ERJ-190,BoraJet
4be429,tc-yai,e190,Embraer ERJ-190LR,BoraJet
4be42a,tc-yaj,e190,Embraer ERJ-190LR,BoraJet
4be42b,tc-yak,e190,Embraer ERJ-190,BoraJet
4be42c,tc-yal,e190,Embraer ERJ-190LR,AnadoluJet
4be42d,tc-yam,e190,Embraer ERJ-190,BoraJet
4be42e,tc-yan,e190,Embraer ERJ-190LR,BoraJet
4be42f,tc-yao,e190,Embraer ERJ-195LR,Borajet
4be430,tc-yap,e190,Embraer ERJ-195LR,BoraJet
4be432,tc-yar,e190,Embraer ERJ-195LR,AnadoluJet
4be433,tc-yas,e190,Embraer ERJ-195AR,BoraJet
4be435,tc-yau,e190,Embraer ERJ-195AR,BoraJet
4c012e,yu-alo,at72,ATR 72-202,AirSERBIA
4c016d,yu-aln,at72,ATR 72-202,AirSERBIA
4c016e,yu-alo,at72,ATR 72-202,AirSERBIA
4c016f,yu-alp,at72,ATR 72-202,AirSERBIA
4c0173,yu-alt,at75,ATR 72-500,AirSERBIA
4c0174,yu-alu,at75,ATR 72-500,AirSERBIA
4c0175,yu-alv,at75,ATR 72-500,AirSERBIA
4c01a3,yu-and,b733,Boeing 737-3H9,Aviolet
4c01a8,yu-ani,b733,Boeing 737-3H9,Aviolet
4c01a9,yu-anj,b733,Boeing 737-3H9,AirSERBIA
4c01aa,yu-ank,b733,Boeing 737-3H9,Aviolet
4c01e0,yu-apa,a319,Airbus A319-132,AirSERBIA
4c01e1,yu-apb,a319,Airbus A319-132,AirSERBIA
4c01e2,yu-apc,a319,Airbus A319-131,AirSERBIA
4c01e3,yu-apd,a319,Airbus A319-132,AirSERBIA
4c01e4,yu-ape,a319,Airbus A319-132,AirSERBIA
4c01e5,yu-apf,a319,Airbus A319-132,AirSERBIA
4c01e6,yu-apg,a320,Airbus A320-232,AirSERBIA
4c01e7,yu-aph,a320,Airbus A320-232,AirSERBIA
4c01e8,yu-api,a319,Airbus A319-132,AirSERBIA
4c01e9,yu-apj,a319,Airbus A319-132,AirSERBIA
4c0641,yu-bsb,c172,Cessna 172R Skyhawk,Private owner
4c0642,yu-bsc,pa44,Piper PA44-180T,Prince Aviation
4c0661,yu-btb,c55b,Cessna 550 Citation Bravo,Private owner
4c0662,yu-btc,b350,Beech 300 Super King Air 350,SMATSA Flight Calibration Serv
4c0739,yu-bzz,c55b,Cessna 550 Citation Bravo,Private owner
4c54c8,yu-vgi,pa34,Piper PA-34,Private owner
4c5c00,73186,an26,Antonov An26,Serbia Air Force
4c8054,5b-clt,da42,Diamond DA-42 Twin Star,Private owner
4c8057,5b-der,sf34,Saab 340B,Tus Airways
4ca03b,ei-cbk,at43,ATR 42-300,Aer Lingus Regional
4ca088,ei-cmd,b763,Boeing 767-324,Blue Panorama
4ca0d1,ei-cpe,a321,Airbus A321-211,Aer Lingus
4ca0fc,ei-lax,a332,Airbus A330-202,Aer Lingus
4ca0fe,ei-cpg,a321,Airbus A321-211,Aer Lingus
4ca117,ei-cph,a321,Airbus A321-211,Aer Lingus
4ca127,ei-csg,b738,Boeing 737-8AS,Travel Service
4ca12e,ei-ffk,b738,Boeing 737-81Q,Meridiana
4ca139,ei-ewr,a332,Airbus A330-202,Aer Lingus
4ca13d,ei-cva,a320,Airbus A320-214,Aer Lingus
4ca146,ei-ffm,b737,Boeing 737-73S,Meridiana
4ca14b,ei-cfq,b733,Boeing 737-3Y0,Mistral Air
4ca15c,ei-cvc,a320,Airbus A320-214,Aer Lingus
4ca15d,ei-cvb,a320,Airbus A320-214,Aer Lingus
4ca15e,ei-daa,a332,Airbus A330-202,Aer Lingus
4ca161,ei-fcz,at76,ATR 72-600,Aer Lingus Regional
4ca174,ei-fee,b738,Boeing 737-8AS,Ryanair
4ca175,ei-fef,b738,Boeing 737-8AS,Ryanair
4ca193,ei-cxk,b734,Boeing 737-4S3,Transaero
4ca199,ei-cxr,b733,Boeing 737-329,Transaero
4ca1aa,ei-cxv,b738,Boeing 737-8CX,MIAT Mongolian Airlines
4ca1ac,ei-cxz,b762,Boeing 767-216ER,Transaero
4ca1b2,ei-dac,b738,Boeing 737-8AS,Ryanair
4ca1b3,ei-dad,b738,Boeing 737-8AS,Ryanair
4ca1b4,ei-dae,b738,Boeing 737-8AS,Ryanair
4ca1b7,ei-daf,b738,Boeing 737-8AS,Ryanair
4ca1b8,ei-dag,b738,Boeing 737-8AS,Ryanair
4ca1b9,ei-dah,b738,Boeing 737-8AS,Ryanair
4ca1ba,ei-dai,b738,Boeing 737-8AS,Ryanair
4ca1bb,ei-daj,b738,Boeing 737-8AS,Ryanair
4ca1be,ei-slf,at72,ATR 72-201,Air Contractors
4ca1bf,ei-czk,b734,Boeing 737-4Y0,Transaero
4ca1c1,ei-dam,b738,Boeing 737-8AS,Ryanair
4ca1c2,ei-dak,b738,Boeing 737-8AS,Ryanair
4ca1c3,ei-dal,b738,Boeing 737-8AS,Ryanair
4ca1d0,ei-das,b738,Boeing 737-8AS,Ryanair
4ca1d1,ei-dar,b738,Boeing 737-8AS,Ryanair
4ca1d2,ei-dap,b738,Boeing 737-8AS,Ryanair
4ca1d3,ei-dao,b738,Boeing 737-8AS,Ryanair
4ca1d4,ei-dan,b738,Boeing 737-8AS,Ryanair
4ca1d8,ei-dbf,b763,Boeing 767-3Q8,Transaero
4ca1d9,ei-dbg,b763,Boeing 767-3Q8ER,Transaero
4ca1dc,ei-dbk,b772,Boeing 777-243,Alitalia
4ca1dd,ei-dbp,b763,Boeing 767-35H,Blue Panorama
4ca1e0,ei-dbl,b772,Boeing 777-243,Alitalia
4ca1e1,ei-dbm,b772,Boeing 777-243,Alitalia
4ca1e6,ei-dbu,b763,Boeing 767-37E,Transaero
4ca1e7,260,pc9,Pilatus PC-9M,Irish Air Corps
4ca1e8,261,pc9,Pilatus PC9-M,Irish Air Corps
4ca1e9,262,pc9,Pilatus PC9M,Irish Air Corps
4ca1ea,263,pc9,Pilatus PC9M,Irish Air Corps
4ca1eb,264,pc9,Pilatus PC9M,Irish Air Corps
4ca1ed,266,pc9,Pilatus PC9M,Irish Air Corps
4ca1ee,267,pc9,Pilatus PC9M,Irish Air Corps
4ca1f7,ei-dbw,b762,Boeing 767-201ER,Transaero
4ca1fa,ei-ddh,b772,Boeing 777-243,Alitalia
4ca1fc,ei-ffw,b738,Boeing 737-85F,Meridiana
4ca1fe,ei-dcg,b738,Boeing 737-8AS,Ryanair
4ca1ff,ei-dcf,b738,Boeing 737-8AS,Ryanair
4ca211,ei-dec,a320,Airbus A320-214,Aer Lingus
4ca212,ei-deb,a320,Airbus A320-214,Aer Lingus
4ca213,ei-dea,a320,Airbus A320-214,Aer Lingus
4ca214,ei-dee,a320,Airbus A320-214,Aer Lingus
4ca215,ei-deg,a320,Airbus A320-214,Aer Lingus
4ca216,ei-deh,a320,Airbus A320-214,Aer Lingus
4ca217,ei-def,a320,Airbus A320-214,Aer Lingus
4ca219,ei-ddy,b734,Boeing 737-400,Transaero
4ca223,ei-dci,b738,Boeing 737-8AS,Ryanair
4ca224,ei-dch,b738,Boeing 737-8AS,Ryanair
4ca225,ei-dck,b738,Boeing 737-8AS,Ryanair
4ca226,ei-dcj,b738,Boeing 737-8AS,Ryanair
4ca22f,ei-dfs,b763,Boeing 767-33A,Transaero
4ca242,ei-dcl,b738,Boeing 737-8AS,Ryanair
4ca243,ei-dcm,b738,Boeing 737-8AS,Ryanair
4ca244,ei-dcn,b738,Boeing 737-8AS,Ryanair
4ca245,ei-dco,b738,Boeing 737-8AS,Ryanair
4ca246,ei-dcp,b738,Boeing 737-8AS,Ryanair
4ca24c,ei-dcz,b738,Boeing 737-8AS,Ryanair
4ca24d,ei-dcy,b738,Boeing 737-8AS,Ryanair
4ca24e,ei-dcx,b738,Boeing 737-8AS,Ryanair
4ca24f,ei-dcw,b738,Boeing 737-8AS,Ryanair
4ca251,ei-dcr,b738,Boeing 737-8AS,Ryanair
4ca256,ei-dha,b738,Boeing 737-8AS,Ryanair
4ca257,ei-dhb,b738,Boeing 737-8AS,Ryanair
4ca258,ei-dhc,b738,Boeing 737-8AS,Ryanair
4ca259,ei-dhd,b738,Boeing 737-8AS,Ryanair
4ca25a,ei-dhe,b738,Boeing 737-8AS,Ryanair
4ca25b,ei-dhf,b738,Boeing 737-8AS,Ryanair
4ca262,ei-dip,a332,Airbus A330-202,Alitalia
4ca263,ei-dhg,b738,Boeing 737-8AS,Ryanair
4ca264,ei-dhh,b738,Boeing 737-8AS,Ryanair
4ca269,ei-dir,a332,Airbus A330-202,Alitalia
4ca27a,ei-dhn,b738,Boeing 737-8AS,Ryanair
4ca27b,ei-dhr,b738,Boeing 737-8AS,Ryanair
4ca27c,ei-dho,b738,Boeing 737-8AS,Ryanair
4ca27d,ei-dhp,b738,Boeing 737-8AS,Ryanair
4ca27f,ei-dek,a320,Airbus A320-214,Aer Lingus
4ca280,ei-dej,a320,Airbus A320-214,Aer Lingus
4ca281,ei-dei,a320,Airbus A320-214,Virgin Atlantic Little Red
4ca282,ei-fxa,at43,ATR 42-320F,Air Contractors
4ca283,ei-fxb,at43,ATR 42-300F,Air Contractors
4ca284,ei-fxc,at43,ATR 42-300F,Air Contractors
4ca285,ei-fxd,at43,ATR 42-300,Air Contractors
4ca286,ei-fxe,at43,ATR 42-300,Air Contractors
4ca28b,271,ec35,Eurocopter EC135P2,Irish Air Corps
4ca28c,270,ec35,B-Hunter,BElgian Air Force
4ca28d,ei-sla,at43,ATR 42-300,Air Contractors
4ca28f,ei-slg,at72,ATR 72-202,Air Contractors
4ca292,ei-del,a320,Airbus A320-214,Aer Lingus
4ca293,ei-dem,a320,Airbus A320-214,Aer Lingus
4ca294,ei-den,a320,Airbus A320-214,Aer Lingus
4ca295,ei-deo,a320,Airbus A320-214,Aer Lingus
4ca2a7,ei-dhs,b738,Boeing 737-8AS,Ryanair
4ca2a8,ei-dht,b738,Boeing 737-8AS,Ryanair
4ca2a9,ei-dhv,b738,Boeing 737-8AS,Ryanair
4ca2aa,ei-dhw,b738,Boeing 737-8AS,Ryanair
4ca2ab,ei-dhx,b738,Boeing 737-8AS,Ryanair
4ca2ac,ei-dhy,b738,Boeing 737-8AS,Ryanair
4ca2ad,ei-dhz,b738,Boeing 737-8AS,Ryanair
4ca2b3,ei-slh,at72,ATR 72-202,Air Contractors
4ca2b8,ei-cgh,c210,Cessna 210N,Private owner
4ca2bf,ei-dlb,b738,Boeing 737-8AS,Ryanair
4ca2c0,ei-dlc,b738,Boeing 737-8AS,Ryanair
4ca2c1,ei-dld,b738,Boeing 737-8AS,Ryanair
4ca2c2,ei-dle,b738,Boeing 737-8AS,Ryanair
4ca2c3,ei-dlf,b738,Boeing 737-8AS,Ryanair
4ca2c4,ei-dlg,b738,Boeing 737-8AS,Ryanair
4ca2c5,ei-fxg,at72,ATR 72-202,Air Contractors
4ca2c9,ei-dep,a320,Airbus A320-214,Aer Lingus
4ca2ca,ei-des,a320,Airbus A320-214,Aer Lingus
4ca2cb,ei-der,a320,Airbus A320-214,Aer Lingus
4ca2d0,ei-ian,pc6t,Pilatus PC-6/B2-H4 Turbo-Porte,Irish Parachute Club
4ca2d1,ei-rei,at72,ATR 72-201,Aer Lingus Regional
49d103,ok-vom,c402,Cessna 402B,Georeal
49d109,ok-fox,c152,Boeing 737-8BK,Travel Service
49d112,ok-tvk,b738,Boeing 737-86N,Travel Service
49d113,ok-uno,be20,Beech B200 Super King Air,Air Prague
49d114,ok-sef,r44,Piper PA-28-181 Archer III,Private owner
49d11e,ok-hel,ec20,Eurocopter EC-120B,Serge Fashion
49d125,ok-rtr,c172,Cessna 172S Skyhawk SP,Private owner
49d126,ok-syk,m20p,Mooney M-20J 201,Private owner
49d12b,ok-fzz,pa34,Piper PA34-220T Seneca V,Private owner
49d12f,ok-mil,c172,Cessna 172,Private owner
49d132,ok-mic,col4,Columbia LC41-550FG,Private owner
49d134,ok-uau,p32r,Piper PA-32R-301T Saratoga,Private owner
49d136,ok-cwd,c77r,Reims Cessna F177RG Cardinal R,Private owner
49d137,ok-aeg,e135,Embraer ERJ-135 Legacy 600,ABS Jets
49d138,ok-vtc,sr22,Cirrus SR22,Private owner
49d139,ok-tsj,b738,Boeing 737-8AS,Travel Service
49d13d,ok-tvl,b738,Boeing 737-8FN,Travel Service
49d13f,ok-tvm,b738,Boeing 737-8FN,Travel Service
49d14c,ok-pet,a319,Airbus A319-112,Czech Airlines
49d150,ok-okb,c172,Reims Aviation F172H Skyhawk,Private Owner
49d155,ok-day,c208,Cessna 208B Grand Caravan,Aeropartner
49d159,ok-phr,b58t,Beech 58P Pressurized Baron,Private owner
49d15e,ok-mep,p06t,Tecnam P2006T,Private owner
49d160,ok-ekm,c172,Reims-Cessna FR172J Reims Rock,Elmontex Air
49d161,ok-vhj,an2,Antonov An-2TP,Skydive & Air Service
49d162,ok-uia,an2,Antonov,Private owner
49d163,ok-rta,sr22,Cirrus SR22,Private owner
49d166,ok-gib,an2,Antonov An-2,Private owner
49d16c,ok-wsm,col3,Columbia LC42-550FG,Private owner
49d16d,ok-red,p32r,Piper PA-32R-301T Saratoga 2,Piper OK
49d16e,ok-kka,c72r,Cessna 172RG Cutlass RG,Delta System Air
49d171,ok-muf,da40,Diamond DA-40D Diamond Star TD,Private owner
49d172,ok-car,c182,Cessna T182T Turbo Skylane,Private owner
49d180,ok-tei,p210,Cessna P210N Pressurised Centu,Private owner
49d184,ok-fro,sr22,Eurocopter EC135 T2,Alfa-Helicopter
49d18c,ok-ava,c172,Cessna 172N Skyhawk,Private owner
49d18d,ok-dst,pa34,Piper PA-34-200T Seneca II,Private owner
49d192,ok-cca,b733,Boeing 737-31S,CCA - Czech Connect Airlines
49d193,ok-tvo,b738,Boeing 737-8CX,Travel Service
49d199,ok-kuf,sr20,Cirrus SR20,Private owner
49d1a1,ok-hhh,sr22,Cirrus SR22,Private owner
49d1a2,ok-bbc,c172,Cessna 172N Skyhawk,Private owner
49d1a3,ok-cro,p46t,Piper PA-46-500TP Malibu Merid,Private owner
49d1a4,ok-hfa,c152,Reims Aviation	F152,Private owner
49d1a8,ok-tvp,b738,Boeing 737-8K5,SmartWings
49d1aa,ok-prg,be9l,Beech C90 King Air,Private owner
49d1ab,ok-pwr,p28r,Piper PA-28R-201T Turbo Arrow,Private owner
49d1af,ok-itc,c82s,Cessna T182T Turbo Skylane,Private owner
49d1b0,ok-lek,l410,Let L-410 UVP-E20 Turbolet,Private owner
49d1b2,ok-kun,c172,Cessna 172P Skyhawk II,Private owner
49d1b3,ok-tur,c172,Cessna 172P Skyhawk,Private owner
49d1b4,ok-sld,l410,Let L-410 UVP-E Turbolet,Silver Air
49d1c3,ok-psv,pa46,Piper PA46,Private owner
49d1c6,ok-tvt,b738,Boeing 737-86N,Travel Service
49d1ca,ok-eac,sr22,Piper PA-46-500TP Malibu Merid,Piper OK
49d1cb,ok-elp,c172,Cessna 172S Skyhawk SP,Private owner
49d1cd,ok-tvs,b738,Boeing 737-86N,Travel Service
49d1d2,ok-coc,z43,Zlin Z-43,Private owner
49d1d3,ok-vok,c421,Cessna 421C Golden Eagle 3,Private owner
49d1e2,ok-ctp,pc12,Airbus A320-214,Travel Service
49d213,ok-uhe,sr22,Cirrus SR22,Private owner
49d222,ok-nok,z42,Moravan Z-242,Private owner
49d232,ok-tse,b738,Boeing 737-81D,Travel Service
49d234,ok-ejm,be20,Piper PA-46-500TP Malibu Merid,Private owner
505e74,om-gst,da42,Diamond DA42 Twin Star,Private owner
505e83,om-utc,pa34,Piper PA-34-220T Seneca V,Ilinsk Univerzita
505e8e,om-atn,c55b,Cessna 550 Citation Bravo,Air Transport Europe
505e92,om-tvr,b738,Boeing 737-86N,Travel Service Slovakia
505ed6,om-vav,l410,Let L410UVP-E20,Private owner
505ee9,om-rwi,da42,Diamond DA42 NG,Opera Jet FTO
505ef7,om-www,sr22,Cirrus SR22-GTS G3,Private owner
505f05,om-bex,b733,Boeing 737-382,AirExplore
505f09,om-m237,kp5,Jihlavan Airplanes KP-5 Skylea,Private owner
505f12,om-m088,sd4,Tomark Aero Viper SD-4,Private owner
505f24,om-dyd,wt9,Aerospool WT9 Dynamic,Private owner
505f29,om-syi,l410,Let L410UVP-E6,Civil Aviation Authority of Sl
505f2e,om-dyn,b733,Boeing 737-36E,Sky Europe
505f31,om-m737,cruz,Czech Sport SportCruiser,Private owner
505f41,om-m249,cruz,Czech Aircraft Works SportCrui,Private owner
505f51,om-m331,pita,Pipistrel Taurus 503,Private owner
505f57,om-m218,zzzz,Ellipse Spirit,Private owner
505f5a,om-m750,ch75,Zenair CH-750 STOL,Private owner
505f61,2506,an26,Antonov An-26B-100,Slovak Air Force
505f69,2818,l410,Let L-410 UVP-E20 Turbolet,Slovak Air Force
505f6a,2718,l410,Let L-410 UVP-E20 Turbolet,Slovak Air Force
505f6b,2901,l410,Let L-410 UVP-E20 Turbolet,Slovak Air Force
506c07,s5-aag,crj2,Canadair CRJ-200,Adria Airways
506c0c,s5-aak,crj9,Canadair CRJ-900,Adria Airways
506c0d,s5-aal,crj9,Canadair CRJ-900,Adria Airways
506c19,s5-aan,crj9,Canadair CRJ-900,Adria Airways
506c1a,s5-aao,crj9,Canadair CRJ-900,Adria Airways
506c21,s5-aap,a319,Airbus A319-132,Adria Airways
506c22,s5-aar,a319,Airbus A319-132,Adria Airways
506c28,s5-aau,crj9,Bombardier CRJ-900LR,Adria Airways
506c29,s5-aav,crj9,Canadair CRJ-900,Adria Airways
506c2a,s5-ack,at72,ATR 72 -212,Aero4m
506c2e,s5-aaz,crj7,Canadair CRJ700,Adria Airways
506c2f,s5-aax,a319,Airbus A319-111,Adria Airways
506c30,s5-abw,a306,Airbus A300B4-605R,Solinair
506c32,s5-jva,g450,Gulfstream Aerospace G-IV,Eagle Airlines Luftverkehrsges
506c94,s5-bbs,sf34,Saab 340AF,Solinair
506c98,s5-bbl,c55b,Cessna 550 Citation Bravo,Gio Business Aviation
506ccf,s5-cma,pc6t,Pilatus PC-6/B2-H4 Turbo Porte,Private owner
506cd0,s5-cgs,p46t,Piper PA-46-350P Jetprop DLX,Robilet d.o.o.
506cd4,s5-cbb,be20,Beech 200 Super King Air,Private owner
506cd6,s5-cmb,pc6,Pilatus  PC-6/B2-H4,Skydive Toscana
506d9a,s5-djm,c182,Reims FR182 Skylane RG,Private owner
506dad,s5-dpp,e300,Extra	EA-300/L,Private owner
506db1,s5-dkt,c172,Cessna 172S Skyhawk SP,Private owner
506dc4,s5-dpw,sr22,Cirrus SR-22,Private owner
506ddd,s5-dsv,sr22,Cirrus SR22 GTS,Private owner
506ded,s5-dtm,sr22,Cirrus SR22,Private owner
506dee,s5-dlt,s22t,Cirrus SR22T GTS Carbon,Private owner
506df4,s5-dtl,s22t,Cirrus SR-22T Turbo,Private owner
506edc,s5-pez,pivi,Pipistrel Virus SW,
506ee6,s5-pex,tl20,TL-2000 Sting S4,Private owner
506f21,l4-01,l410,Let L-410 UVP-E Turbolet,Slovenian Air Force
506f40,h2-32,b412,Bell 412 HP,Slovenian Armed Forces
506f5d,l9-61,pc9,Pilatus PC-9M,Slovenia Air Force
506f5e,l9-62,pc9,Pilatus PC-9M,Slovenia Air Force
506f61,l9-65,pc9,Pilatus PC-9M,Slovenia Air Force
506f62,l9-66,pc9,Pilatus PC-9M,Slovenia Air Force
506f63,l9-67,pc9,Pilatus PC-9M,Slovenia Air Force
506f64,l9-68,pc9,Pilatus PC-9M,Slovenia Air Force
506f65,l9-69,pc9,Pilatus PC-9M,Slovenia Air Force
506f68,h3-72,as32,Eurocopter AS-532-UL Cougar,Slovenia Air Force
506f69,h3-73,as32,Eurocopter	AS-532AL Cougar,Slovenia SAF 15 Bridaga
507540,pp-mmn,pa46,Piper PA-46R-350T Malibu,Private owner
507c01,uk-75700,b752,Boeing 757-23P,Uzbekistan Airways
507c0b,uk-31003,a310,Airbus A310-324,Uzbekistan Airways
507c21,uk-67000,b763,Boeing 767-33PER,Uzbekistan Government
507c38,uk-67001,b763,Boeing 767-33PER,Uzbekistan Airways
507c39,uk-67002,b763,Boeing 767-300ER,Uzbekistan Airways
507c3a,uk-32011,a320,Airbus A320-214,Uzbekistan Airways
507c3b,uk-32012,a320,Airbus A320-214,Uzbekistan Airways
507c3c,uk-32000,a320,Airbus A320-214,Uzbekistan Airways
507c3d,uk-32014,a320,Airbus A320-214,Uzbekistan Airways
507c3e,uk-32015,a320,Airbus A320-214,Uzbekistan Airways
507c3f,uk-32016,a320,Airbus A320-214,Uzbekistan Airways
507c40,uk-32017,a320,Airbus A320-214,Uzbekistan Airways
507c41,uk-32018,a320,Airbus A320-214,Uzbekistan Airways
507c42,uk-32019,a320,Airbus A320-214,Uzbekistan Airways
507c43,uk-32020,a320,Airbus A320-214,Uzbekistan Airways
507c44,uk-67003,b763,Boeing 767-33P,Uzbekistan Airways
507c45,uk-67004,b763,Boeing 767-33P,Uzbekistan Airways
507c46,uk-75701,b752,Boeing 757-23P,Uzbekistan Airways
507c48,uk-67005,b763,Boeing 767-33P,Uzbekistan Airways
507c49,uk-67006,b763,Boeing 767-33P,Uzbekistan Airways
507c4b,uk-67007,b763,Boeing 767-3CB,Uzbekistan Airways
508003,ur-82029,a124,Antonov An-124,Antonov Design Bureau
508011,ur-gah,b733,Boeing 737-32Q,Ukraine International Airlines
508015,ur-82027,a124,Antonov An-124,Antonov Design Bureau
50801b,ur-82007,a124,Antonov An-124,Antonov Design Bureau
50801c,ur-82008,a124,Antonov An-124,Antonov Design Bureau
50801d,ur-82009,a124,Antonov An-124,Antonov Design Bureau
50801f,ur-82072,a124,Antonov An-124,Antonov Design Bureau
508020,ur-82073,a124,Antonov An-124,Antonov Design Bureau
50802d,ur-74010,an72,Antonov An-74T,Antonov Design Bureau
508035,ur-82060,a225,Antonov An-225 Mriya,Antonov Design Bureau
508056,ur-74026,an72,Antonov An-74-200,Motor Sich Airlines
508058,ur-78785,il76,Ilyushin IL76MD,Yuzmashavia
508059,ur-78786,il76,Ilyushin IL-76TD,Yuzmashavia
508062,ur-elm,an24,Antonov An-24RV,Air Urga
50806c,ur-gak,b735,Boeing 737-5Y0,Ukraine International Airlines
508072,ur-awb,an72,Antonov An-74TK-300D,Ukraine Government
50807f,ur-11316,an12,Antonov An-12,Motor Sich Airlines
50808e,ur-elb,an26,Antonov An-26,Air Urga
50808f,ur-cbg,an12,Antonov An-12,Aerovis Airlines
508095,ur-14005,a140,Antonov An-140,Motor Sich Airlines
