icao,regid,mdl,type,operator
00a8ae,zs-pjx,b190,Beech 1900D,Solenta Aviation
00a8c6,zs-pkv,b735,Boeing 737-529,Skywise
00a9e6,zs-pvx,b722,Boeing 727-2N6RE Super 27,Fortune Air
00aa00,ly-uly,tl20,TL Ultralight TL-2000 Sting S4,Private owner
00aa31,zs-pyu,b190,Beech 1900D,Private owner
00ae1f,zs-rlm,b407,Bell 407,Private owner
00ae62,zs-rob,b407,Bell 407GX,Private owner
00aec9,zs-rsa,b737,Boeing 737-7ED,South African Air Force
00aed0,zs-rsh,b407,Bell 407GX,Private owner
00af04,zs-ruh,puma,Aerospatiale SA,Starlite Aviation
00af22,zs-rvl,pc12,Pilatus PC12/47E,Private owner
00afa8,zs-sap,b742,Boeing 747-244B,South African Airways
00afb3,zs-sba,b733,Boeing 737-3Y0,South African Airways
00afb4,zs-sbb,b733,Boeing 737-3Y0,South African Airways
00aff5,zs-sdo,pc12,Pilatus PC12/45,Private owner
